id,hotel_name,city
199068,Lapland Hotel Yllaskaltio,Akaslompolo
199923,Hotel Kamp,Helsinki
202626,Rantasipi Pohjanhovi,Rovaniemi
206324,Comfort Hotel Lahti,Lahti
206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
206761,Crowne Plaza Hotel Helsinki,Helsinki
206762,"Radisson Blu Plaza Hotel, Helsinki",Helsinki
206763,Hotel Rivoli Jardin,Helsinki
206764,"Radisson Blu Hotel, Oulu",Oulu
206765,Original Sokos Hotel Presidentti,Helsinki
206766,Original Sokos Hotel Royal Vaasa,Vaasa
206767,Rantasipi Tropiclandia Spa and Resort,Vaasa
206768,Ramada Oulu,Oulu
206770,Holiday Inn Turku,Turku
206771,Rantasipi Polar,Rovaniemi
206772,BEST WESTERN Hotel Seaport,Turku
206773,Park Hotel Kapyla,Helsinki
226961,Quality Hotel Vuoksenhovi,Imatra
227266,Scandic Oscar,Varkaus
227267,Hotel Silveria,Vaasa
227270,BEST WESTERN Hotel Raumanlinna,Rauma
227271,BEST WESTERN Kalliohovi,Rauma
227272,BEST WESTERN Hotel Apollo,Oulu
227273,BEST WESTERN Hotel Savonia,Kuopio
227274,Hotel Rantasipi Atlas,Kuopio
227275,Hotel Leikari,Karhula
227276,Hotel Seurahuone,Kokkola
227279,BEST WESTERN PLUS Hotel Haaga,Helsinki
227281,BEST WESTERN Hotel Samantta,Haukipudas
227985,Holiday Inn Helsinki Exhibition & Convention Center,Helsinki
227986,Holiday Inn Helsinki-Vantaa Airport,Vantaa
228666,Airport Hotel Bonus Inn,Vantaa
228667,Anna Hotel,Helsinki
228668,Scandic Espoo,Espoo
228669,Hotel Kiannon Kuohut,Suomussalmi
228670,Scandic Grand Marina,Helsinki
228671,Scandic Julia,Turku
228673,"Radisson Blu Marina Palace Hotel, Turku",Turku
228674,Arthur Hotel,Helsinki
228675,Scandic Kuopio,Kuopio
228676,City Hotel Rovaniemi,Rovaniemi
228677,Hilton Helsinki Kalastajatorppa,Helsinki
228678,Scandic Marski,Helsinki
228680,Scandic Rovaniemi,Rovaniemi
228682,Scandic Simonkentta,Helsinki
228683,Hotel Luosto,Luosto
228684,Rantasipi Valtionhotelli,Imatra
228685,Scandic Rosendahl,Tampere
228686,Scandic Jyvaskyla,Jyvaskyla
228687,Scandic Patria,Lappeenranta
228688,Scandic Pori,Pori
229648,Scandic Plaza Turku,Turku
229649,Scandic Tampere City,Tampere
229708,Centro Hotel Turku,Turku
230236,Finlandia Hotel Kumpeli,Heinola
230992,Hotel Avion,Helsinki
230993,Hotel Seurahuone Helsinki,Helsinki
230997,Cumulus Imatra,Imatra
230998,Imatran Kylpyla Spa,Imatra
231000,Rantasipi Laajavuori,Jyvaskyla
231003,Cumulus Lahti,Lahti
231005,Cumulus Lappeenranta,Lappeenranta
231006,Cumulus Mikkeli,Mikkeli
231007,Cumulus Rauma,Rauma
231010,Cumulus Hameenpuisto,Tampere
231011,Cumulus Pinja,Tampere
232073,Original Sokos Hotel Lappee,Lappeenranta
232143,GLO Hotel Art,Helsinki
232145,Original Sokos Hotel Helsinki,Helsinki
232147,Original Sokos Hotel Pasila,Helsinki
232148,Solo Sokos Hotel Torni,Helsinki
232149,Original Sokos Hotel Vaakuna,Helsinki
232150,"Radisson Blu Hotel, Espoo",Espoo
232151,Original Sokos Hotel Tapiola Garden,Espoo
232152,Hotel Korpilampi,Espoo
232153,Original Sokos Hotel Ilves,Tampere
232154,Solo Sokos Hotel Tammer,Tampere
232155,Original Sokos Hotel Villa,Tampere
232157,Original Sokos Hotel Seurahuone,Turku
232158,"Original Sokos Hotel Vaakuna,Rovaniemi",Rovaniemi
232279,Original Sokos Hotel Kimmel,Joensuu
