ID ,helpful_count,tourism,overall_rating,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,owner_replied,city
82,1,BUSINESS,4,4,4,5,5,5,Y,Helsinki_Uusimaa
83,1,BUSINESS,4,4,4,5,5,4,Y,Vantaa_Uusimaa
84,1,COUPLES,3,4,3,3,4,3,Y,Helsinki_Uusimaa
85,1,SOLO,5,5,5,5,5,5,Y,Vantaa_Uusimaa
86,4,COUPLES,1,1,1,2,4,1,Y,Porvoo_Uusimaa
87,0,BUSINESS,1,1,1,1,1,1,Y,Helsinki_Uusimaa
88,0,FRIENDS,5,5,5,5,5,5,Y,Helsinki_Uusimaa
89,0,BUSINESS,4,3,3,3,5,4,Y,Helsinki_Uusimaa
90,1,COUPLES,2,3,2,5,3,4,Y,Helsinki_Uusimaa
91,1,BUSINESS,4,5,4,5,5,4,Y,Oulu_Northern_Ostrobothnia
92,0,FAMILY,3,3,3,4,4,3,Y,Vantaa_Uusimaa
93,1,BUSINESS,5,4,5,4,5,5,Y,Espoo_Uusimaa
94,0,FAMILY,5,4,5,4,5,4,Y,Helsinki_Uusimaa
95,3,COUPLES,5,5,5,5,5,5,Y,Helsinki_Uusimaa
96,1,BUSINESS,5,4,4,4,5,5,Y,Vantaa_Uusimaa
97,2,COUPLES,3,2,2,4,4,3,Y,Kuusamo_Northern_Ostrobothnia
98,0,COUPLES,5,5,5,5,5,5,Y,Helsinki_Uusimaa
99,2,BUSINESS,4,4,4,4,4,4,Y,Espoo_Uusimaa
100,0,BUSINESS,3,3,3,4,2,3,Y,Helsinki_Uusimaa
101,0,COUPLES,5,4,5,5,5,5,Y,Vantaa_Uusimaa
102,2,BUSINESS,5,5,5,5,5,5,Y,Helsinki_Uusimaa
103,1,BUSINESS,4,4,3,4,4,4,Y,Espoo_Uusimaa
104,0,BUSINESS,4,4,4,4,4,4,Y,Oulu_Northern_Ostrobothnia
105,0,FAMILY,3,3,3,3,4,3,Y,Vantaa_Uusimaa
106,1,BUSINESS,4,4,4,3,3,4,Y,Helsinki_Uusimaa
107,0,COUPLES,3,3,3,4,2,3,Y,Helsinki_Uusimaa
108,1,SOLO,5,5,5,4,5,5,Y,Tampere_Pirkanmaa
109,1,COUPLES,4,4,3,5,3,4,Y,Helsinki_Uusimaa
110,0,COUPLES,4,3,4,3,5,3,Y,Vantaa_Uusimaa
111,0,COUPLES,4,4,5,5,5,5,Y,Oulu_Northern_Ostrobothnia
112,7,COUPLES,5,5,5,5,5,5,Y,Levi_Lapland
113,0,BUSINESS,4,4,5,5,5,5,Y,Helsinki_Uusimaa
114,4,COUPLES,2,2,1,5,2,3,Y,Helsinki_Uusimaa
115,0,BUSINESS,4,3,3,3,4,4,Y,Helsinki_Uusimaa
116,0,SOLO,4,4,5,4,3,3,Y,Helsinki_Uusimaa
117,2,SOLO,3,3,3,2,3,3,Y,Helsinki_Uusimaa
118,1,BUSINESS,3,1,4,4,4,4,Y,Vantaa_Uusimaa
119,1,BUSINESS,5,5,5,5,5,5,Y,Helsinki_Uusimaa
120,0,BUSINESS,5,5,5,5,5,5,Y,Helsinki_Uusimaa
121,0,COUPLES,4,4,4,4,5,5,Y,Vantaa_Uusimaa
122,0,COUPLES,5,5,5,5,5,5,Y,Helsinki_Uusimaa
123,3,SOLO,5,5,5,5,5,5,Y,Helsinki_Uusimaa
124,0,BUSINESS,3,3,3,3,4,4,Y,Helsinki_Uusimaa
125,0,BUSINESS,4,4,5,3,5,5,Y,Helsinki_Uusimaa
126,0,BUSINESS,4,4,4,4,5,4,Y,Helsinki_Uusimaa
127,0,COUPLES,5,3,5,4,5,5,Y,Helsinki_Uusimaa
128,1,COUPLES,5,5,5,5,5,5,Y,Kirkkonummi_Uusimaa
129,0,FRIENDS,5,4,5,5,5,5,Y,Helsinki_Uusimaa
130,0,BUSINESS,5,5,5,5,5,5,Y,Oulu_Northern_Ostrobothnia
131,0,BUSINESS,5,4,4,5,5,4,Y,Helsinki_Uusimaa
132,3,BUSINESS,4,4,5,4,3,4,Y,Helsinki_Uusimaa
133,0,COUPLES,5,5,5,4,5,5,Y,Helsinki_Uusimaa
134,2,FAMILY,5,5,5,5,5,5,Y,Helsinki_Uusimaa
135,0,BUSINESS,4,3,5,5,5,4,Y,Vantaa_Uusimaa
136,1,SOLO,5,5,5,5,5,5,Y,Vantaa_Uusimaa
137,0,BUSINESS,4,3,4,3,4,4,Y,Vantaa_Uusimaa
138,1,COUPLES,5,4,4,5,4,5,Y,Oulu_Northern_Ostrobothnia
139,1,COUPLES,5,4,4,5,5,5,Y,Helsinki_Uusimaa
140,0,FAMILY,5,4,5,4,5,5,Y,Helsinki_Uusimaa
141,0,SOLO,5,4,5,4,4,5,Y,Helsinki_Uusimaa
142,1,BUSINESS,4,4,3,3,4,4,Y,Helsinki_Uusimaa
143,0,BUSINESS,4,4,4,4,4,5,Y,Oulu_Northern_Ostrobothnia
144,0,BUSINESS,5,3,5,4,5,5,Y,Helsinki_Uusimaa
145,0,BUSINESS,4,3,4,3,5,4,Y,Vantaa_Uusimaa
146,0,BUSINESS,4,5,3,3,5,4,Y,Helsinki_Uusimaa
147,2,FAMILY,5,4,5,5,5,5,Y,Vantaa_Uusimaa
148,0,BUSINESS,4,4,5,4,5,4,Y,Vantaa_Uusimaa
149,1,BUSINESS,3,4,3,2,4,5,Y,Helsinki_Uusimaa
150,0,BUSINESS,5,4,4,4,5,4,Y,Espoo_Uusimaa
151,2,BUSINESS,3,2,2,4,3,3,Y,Helsinki_Uusimaa
152,1,BUSINESS,4,4,5,5,4,4,Y,Helsinki_Uusimaa
153,0,BUSINESS,4,4,4,3,5,3,Y,Helsinki_Uusimaa
154,1,BUSINESS,4,4,5,4,4,5,Y,Helsinki_Uusimaa
155,0,COUPLES,3,3,3,3,4,3,Y,Helsinki_Uusimaa
156,0,COUPLES,5,5,5,5,5,5,Y,Hameenkoski_Tavastia_Proper
157,0,BUSINESS,3,3,3,3,4,4,Y,Kirkkonummi_Uusimaa
158,2,BUSINESS,3,2,3,4,1,3,Y,Espoo_Uusimaa
159,2,BUSINESS,5,5,5,5,5,5,Y,Akaslompolo_Lapland
160,2,BUSINESS,3,3,1,3,3,3,Y,Vantaa_Uusimaa
161,0,SOLO,3,2,3,5,3,3,Y,Helsinki_Uusimaa
162,1,COUPLES,4,3,4,4,4,3,Y,Rovaniemi_Lapland
163,0,BUSINESS,4,4,5,5,5,4,Y,Helsinki_Uusimaa
164,0,COUPLES,5,5,5,5,5,5,Y,Oulu_Northern_Ostrobothnia
165,0,COUPLES,5,3,5,5,5,5,Y,Vantaa_Uusimaa
166,0,BUSINESS,4,4,4,5,4,4,Y,Helsinki_Uusimaa
167,0,FAMILY,5,5,4,4,5,5,Y,Helsinki_Uusimaa
168,2,FRIENDS,5,5,5,5,5,5,Y,Levi_Lapland
169,1,FAMILY,5,5,5,5,5,5,Y,Levi_Lapland
170,0,BUSINESS,4,4,4,5,5,3,Y,Helsinki_Uusimaa
171,1,BUSINESS,4,4,4,5,5,4,Y,Vantaa_Uusimaa
172,1,BUSINESS,4,4,5,4,5,5,Y,Helsinki_Uusimaa
173,1,BUSINESS,4,4,5,4,4,4,Y,Helsinki_Uusimaa
174,0,BUSINESS,4,4,4,4,4,4,Y,Oulu_Northern_Ostrobothnia
175,0,BUSINESS,5,3,5,5,5,4,Y,Helsinki_Uusimaa
176,4,BUSINESS,1,1,3,2,4,1,Y,Vantaa_Uusimaa
177,0,COUPLES,4,5,5,5,5,5,Y,Oulu_Northern_Ostrobothnia
178,0,SOLO,5,3,5,5,5,5,Y,Helsinki_Uusimaa
179,1,FAMILY,3,3,3,3,3,3,Y,Oulu_Northern_Ostrobothnia
180,1,BUSINESS,4,4,4,3,4,3,Y,Helsinki_Uusimaa
181,0,BUSINESS,3,4,5,5,3,5,Y,Helsinki_Uusimaa
182,0,BUSINESS,4,3,5,5,5,4,Y,Vantaa_Uusimaa
183,2,SOLO,5,5,5,5,5,5,Y,Helsinki_Uusimaa
184,0,FAMILY,4,4,4,5,5,3,Y,Helsinki_Uusimaa
185,2,SOLO,5,5,5,5,5,5,Y,Helsinki_Uusimaa
186,0,FAMILY,4,3,4,5,5,4,Y,Tampere_Pirkanmaa
187,1,BUSINESS,3,3,3,5,4,2,Y,Helsinki_Uusimaa
188,0,SOLO,4,3,4,4,4,4,Y,Vantaa_Uusimaa
189,1,COUPLES,5,5,5,5,5,5,Y,Turku_Southwest_Finland
190,1,BUSINESS,2,1,2,3,4,1,Y,Vantaa_Uusimaa
191,2,FAMILY,5,5,5,5,5,5,Y,Levi_Lapland
192,0,FAMILY,5,5,5,5,5,5,Y,Helsinki_Uusimaa
193,1,COUPLES,5,5,4,5,5,5,Y,Helsinki_Uusimaa
194,0,BUSINESS,4,4,5,4,4,5,Y,Helsinki_Uusimaa
195,0,BUSINESS,4,5,4,5,4,4,Y,Helsinki_Uusimaa
196,0,COUPLES,3,3,5,4,5,3,Y,Espoo_Uusimaa
197,0,COUPLES,4,4,5,5,5,4,Y,Helsinki_Uusimaa
198,1,COUPLES,5,5,5,5,5,5,Y,Helsinki_Uusimaa
199,0,FRIENDS,4,5,4,4,5,4,Y,Helsinki_Uusimaa
200,0,BUSINESS,5,4,4,4,5,4,Y,Helsinki_Uusimaa
201,0,BUSINESS,3,4,4,4,4,3,Y,Helsinki_Uusimaa
202,0,COUPLES,4,5,5,5,4,4,Y,Helsinki_Uusimaa
203,0,SOLO,5,5,5,4,5,5,Y,Helsinki_Uusimaa
204,2,BUSINESS,2,3,4,5,4,2,Y,Helsinki_Uusimaa
205,1,BUSINESS,3,3,5,5,5,3,Y,Vantaa_Uusimaa
206,1,FRIENDS,5,3,4,5,4,3,Y,Helsinki_Uusimaa
207,1,FRIENDS,5,4,5,5,5,5,Y,Kuhmo_Wild_Taiga_Kainuu
208,1,BUSINESS,4,5,4,4,5,4,Y,Espoo_Uusimaa
209,2,BUSINESS,2,2,1,3,2,3,Y,Vantaa_Uusimaa
210,3,BUSINESS,3,3,5,4,5,2,Y,Helsinki_Uusimaa
211,0,BUSINESS,4,4,4,5,4,4,Y,Tampere_Pirkanmaa
212,0,FAMILY,5,3,5,5,5,5,Y,Vantaa_Uusimaa
213,0,BUSINESS,5,4,5,3,5,4,Y,Helsinki_Uusimaa
214,0,BUSINESS,5,5,5,4,5,5,Y,Helsinki_Uusimaa
215,0,COUPLES,5,5,5,5,5,5,Y,Levi_Lapland
216,0,COUPLES,2,1,2,3,3,3,Y,Vantaa_Uusimaa
217,0,BUSINESS,4,5,4,4,3,5,Y,Helsinki_Uusimaa
218,0,COUPLES,4,3,4,4,4,4,Y,Helsinki_Uusimaa
219,2,COUPLES,5,4,4,5,5,5,Y,Enontekio_Lapland
